,x,y
1,87.40681212,5
2,41.89533291,10
3,45.52371847,13
4,30.67490289,9
5,20.76301102,10
6,17.14376747,11
7,5.948656891,9
8,19.54692276,8
9,66.09015488,8
10,91.98126209,14
11,4.212649656,10
12,92.79833224,10
13,84.99321875,8
14,50.24722945,9
15,29.01673752,8
16,97.05954974,10
17,30.15459303,11
18,10.55537958,13
19,95.77473374,7
20,23.1927854,12
21,93.52184928,13
22,26.27825385,4
23,47.20910669,10
24,89.87644713,17
25,51.8222122,14
26,20.24717752,7
27,4.254914471,12
28,18.16788374,17
29,80.99305807,13
30,61.69874237,15
31,64.87552505,5
32,36.52144149,11
33,39.67701045,2
34,63.50922687,16
35,81.40325954,11
36,52.53527677,10
37,54.0165012,9
38,87.45776298,14
39,44.99287845,9
40,42.10307871,10
41,83.01254567,6
42,95.61232722,11
43,80.51181745,6
44,63.90786862,12
45,63.88005458,10
46,53.57147807,9
47,93.09133221,11
48,71.60034471,7
49,7.247222471,10
50,15.83370171,9
51,49.50178734,8
52,49.75515564,19
53,26.47073709,16
54,15.92432493,10
55,54.38368693,12
56,44.6477412,13
57,56.35707919,12
58,24.49538033,11
59,80.29173177,12
60,83.64196899,8
61,88.70277063,11
62,59.92513376,10
63,10.5059952,11
64,4.503751756,13
65,1.998009905,9
66,94.36979326,11
67,84.50128036,12
68,70.06320606,8
69,39.67092321,3
70,94.00373783,4
71,76.89350329,12
72,18.78143307,4
73,76.03393579,13
74,98.05769201,9
75,40.69589758,7
76,22.94451424,11
77,92.6300684,7
78,25.99041979,12
79,91.53229797,11
80,47.39872534,12
81,72.03399818,10
82,50.49957584,12
83,80.29019067,13
84,86.31146539,7
85,1.121749659,13
86,1.048245747,8
87,58.08203041,16
88,99.46676851,9
89,46.19566889,14
90,24.52359439,17
91,75.02245847,15
92,39.26831554,9
93,47.06392256,11
94,83.35628302,10
95,69.81104349,7
96,97.66017029,10
97,49.46647051,8
98,88.09031791,12
99,22.66896456,10
100,52.09208536,11
101,71.44200979,10
102,0.641219248,8
103,19.97172087,13
104,11.26173178,12
105,59.91909225,14
106,28.10656696,12
107,67.01928331,11
108,7.415076322,11
109,69.39219306,9
110,21.52609096,13
111,13.05673635,10
112,26.90458712,10
113,3.34710204,12
114,26.35797258,7
115,25.65685187,14
116,94.94951803,8
117,73.02735245,12
118,34.05537633,9
